"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1749099823","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1749099824","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,7,0,58,51,20,68,121894
"1749099825","3","","Aggregated",0.00,0.00,38,43,55,64,65,69,69,69,69,69,69,69,19,0,42,42,5,68,99312
"1749099826","4","","Aggregated",5.00,0.00,38,45,55,56,65,69,69,69,69,69,69,69,38,0,38,38,5,68,91877
"1749099827","5","","Aggregated",7.00,0.00,35,43,55,60,69,77,85,100,100,100,100,100,64,0,36,37,4,103,90850
"1749099828","6","","Aggregated",11.67,0.00,33,43,53,60,70,85,88,100,100,100,100,100,102,0,33,36,4,103,86535
"1749099829","7","","Aggregated",14.50,0.00,35,43,49,55,69,82,88,90,100,100,100,100,154,0,36,36,4,103,88926
"1749099830","8","","Aggregated",18.00,0.00,35,44,52,56,69,79,88,90,100,100,100,100,208,0,35,36,4,103,88113
"1749099831","9","","Aggregated",22.00,0.00,34,44,51,55,69,77,87,90,100,100,100,100,264,0,35,36,4,103,89665
"1749099832","10","","Aggregated",26.57,0.00,33,44,50,54,68,77,88,100,120,120,120,120,329,0,33,35,4,117,86427
"1749099833","11","","Aggregated",30.88,0.00,33,43,48,53,67,77,88,100,120,120,120,120,404,0,33,35,4,117,86191
"1749099834","12","","Aggregated",33.78,0.00,33,43,48,53,68,77,89,100,120,120,120,120,495,0,33,35,4,117,89041
"1749099835","13","","Aggregated",37.20,0.00,33,42,48,53,68,79,90,100,190,190,190,190,576,0,33,35,4,186,88699
"1749099836","14","","Aggregated",46.10,0.00,32,41,47,52,66,79,93,100,190,190,190,190,680,0,32,34,4,186,87410
"1749099837","15","","Aggregated",53.00,0.00,32,42,48,53,68,79,98,120,190,190,190,190,780,0,32,35,4,186,88863
