learning_rate,hidden_dim,num_layers,batch_size,validation_rmse
5e-05,100,1,1024,0.3767
5e-05,100,2,1024,0.3858
5e-05,100,3,1024,0.3987
5e-05,100,4,1024,0.4495
5e-05,100,5,1024,0.468
5e-05,100,6,1024,0.4668
5e-05,100,7,1024,0.4779
5e-05,100,8,1024,0.9824
5e-05,200,1,1024,0.3504
5e-05,200,2,1024,0.3531
5e-05,200,3,1024,0.3629
5e-05,200,4,1024,0.3821
5e-05,200,5,1024,0.4299
5e-05,200,6,1024,0.4529
5e-05,200,7,1024,0.4495
5e-05,200,8,1024,0.9824
5e-05,300,1,1024,0.3377
5e-05,300,2,1024,0.3346
5e-05,300,3,1024,0.3467
5e-05,300,4,1024,0.3591
5e-05,300,5,1024,0.4186
5e-05,300,6,1024,0.4334
5e-05,300,7,1024,0.465
5e-05,300,8,1024,0.4545
5e-05,400,1,1024,0.3294
5e-05,400,2,1024,0.319
5e-05,400,3,1024,0.3352
5e-05,400,4,1024,0.3469
5e-05,400,5,1024,0.4037
5e-05,400,6,1024,0.4401
5e-05,400,7,1024,0.4343
5e-05,400,8,1024,0.4472
5e-05,500,1,1024,0.3226
5e-05,500,2,1024,0.3147
5e-05,500,3,1024,0.3264
5e-05,500,4,1024,0.3425
5e-05,500,5,1024,0.374
5e-05,500,6,1024,0.4491
5e-05,500,7,1024,0.4508
5e-05,500,8,1024,0.4887
5e-05,600,1,1024,0.3181
5e-05,600,2,1024,0.3073
5e-05,600,3,1024,0.3177
5e-05,600,4,1024,0.335
5e-05,600,5,1024,0.3583
5e-05,600,6,1024,0.4194
5e-05,600,7,1024,0.4563
5e-05,600,8,1024,0.4542
5e-05,700,1,1024,0.3191
5e-05,700,2,1024,0.2993
5e-05,700,3,1024,0.3106
5e-05,700,4,1024,0.3403
5e-05,700,5,1024,0.3628
5e-05,700,6,1024,0.4593
5e-05,700,7,1024,0.4376
5e-05,700,8,1024,0.5009
5e-05,800,1,1024,0.3167
5e-05,800,2,1024,0.3048
5e-05,800,3,1024,0.3051
5e-05,800,4,1024,0.3367
5e-05,800,5,1024,0.361
5e-05,800,6,1024,0.4192
5e-05,800,7,1024,0.4465
5e-05,800,8,1024,0.4772
0.0001,100,1,1024,0.3373
0.0001,100,2,1024,0.3428
0.0001,100,3,1024,0.3566
0.0001,100,4,1024,0.4031
0.0001,100,5,1024,0.4458
0.0001,100,6,1024,0.4185
0.0001,100,7,1024,0.4383
0.0001,100,8,1024,0.9824
0.0001,200,1,1024,0.3175
0.0001,200,2,1024,0.3141
0.0001,200,3,1024,0.3311
0.0001,200,4,1024,0.3514
0.0001,200,5,1024,0.4016
0.0001,200,6,1024,0.4276
0.0001,200,7,1024,0.4155
0.0001,200,8,1024,0.9824
0.0001,300,1,1024,0.3107
0.0001,300,2,1024,0.3021
0.0001,300,3,1024,0.3134
0.0001,300,4,1024,0.3291
0.0001,300,5,1024,0.3753
0.0001,300,6,1024,0.4092
0.0001,300,7,1024,0.5036
