learning_rate,hidden_dim,num_layers,batch_size,validation_rmse
5e-05,100,1,1024,0.4008
5e-05,100,2,1024,0.4111
5e-05,100,3,1024,0.453
5e-05,100,4,1024,0.4395
5e-05,100,5,1024,0.4482
5e-05,100,6,1024,0.4895
5e-05,100,7,1024,0.9824
5e-05,100,8,1024,0.9824
5e-05,200,1,1024,0.3713
5e-05,200,2,1024,0.3602
5e-05,200,3,1024,0.3712
5e-05,200,4,1024,0.4136
5e-05,200,5,1024,0.4235
5e-05,200,6,1024,0.4377
5e-05,200,7,1024,0.434
5e-05,200,8,1024,0.9824
5e-05,300,1,1024,0.3511
5e-05,300,2,1024,0.3402
5e-05,300,3,1024,0.3443
5e-05,300,4,1024,0.3805
5e-05,300,5,1024,0.3942
5e-05,300,6,1024,0.4368
5e-05,300,7,1024,0.4324
5e-05,300,8,1024,0.4257
5e-05,400,1,1024,0.335
5e-05,400,2,1024,0.3204
5e-05,400,3,1024,0.334
5e-05,400,4,1024,0.3559
5e-05,400,5,1024,0.4233
5e-05,400,6,1024,0.4257
5e-05,400,7,1024,0.4316
5e-05,400,8,1024,0.4515
5e-05,500,1,1024,0.326
5e-05,500,2,1024,0.3093
5e-05,500,3,1024,0.3268
5e-05,500,4,1024,0.3521
5e-05,500,5,1024,0.4159
5e-05,500,6,1024,0.4397
5e-05,500,7,1024,0.4257
5e-05,500,8,1024,0.455
5e-05,600,1,1024,0.3185
5e-05,600,2,1024,0.3027
5e-05,600,3,1024,0.3153
5e-05,600,4,1024,0.3384
5e-05,600,5,1024,0.407
5e-05,600,6,1024,0.4343
5e-05,600,7,1024,0.4178
5e-05,600,8,1024,0.4341
5e-05,700,1,1024,0.3128
5e-05,700,2,1024,0.3004
5e-05,700,3,1024,0.3127
5e-05,700,4,1024,0.333
5e-05,700,5,1024,0.403
5e-05,700,6,1024,0.424
5e-05,700,7,1024,0.4552
5e-05,700,8,1024,0.4277
5e-05,800,1,1024,0.3116
5e-05,800,2,1024,0.2959
5e-05,800,3,1024,0.3096
5e-05,800,4,1024,0.3344
5e-05,800,5,1024,0.3881
5e-05,800,6,1024,0.4301
5e-05,800,7,1024,0.442
5e-05,800,8,1024,0.4326
0.0001,100,1,1024,0.3439
0.0001,100,2,1024,0.3509
0.0001,100,3,1024,0.3759
0.0001,100,4,1024,0.3844
0.0001,100,5,1024,0.4013
0.0001,100,6,1024,0.4174
0.0001,100,7,1024,0.9824
0.0001,100,8,1024,0.9824
0.0001,200,1,1024,0.3183
0.0001,200,2,1024,0.3113
0.0001,200,3,1024,0.3289
0.0001,200,4,1024,0.3705
0.0001,200,5,1024,0.3958
0.0001,200,6,1024,0.4319
0.0001,200,7,1024,0.4305
0.0001,200,8,1024,0.9824
0.0001,300,1,1024,0.3072
0.0001,300,2,1024,0.3003
